Page,Beer,Brewer,Rating,Review,User,Place
0,Abandoned Rail Keep It Klassy,Abandoned Rail Brewing,3.3,"Poured from the tap @ Dageraad. Clear copper orange with small white head. Toffee malt, hint of vanilla and oak, feint phenols on the nose. Okay.",pictoman,"Penticton, British Columbia"
0,Lupia Herbal Nugget,Hijos de Rivera,4.2,De Hipercor. En copa shaker de Birrificio Pontino. Leyendo Refactoring. Pues grata sorpresa. No tiene nada de IPA aunque su nombre y eslogan puedan dar a entenderlo. Pero es una Lager industrial realmente bien hecha y adictiva. El nugget que lleva se le ve muy fresco,josanguapo,"A Coruña, Galicia"
0,Brau Brothers Ringneck Braun Ale,Brau Brothers Brewing Company,3.5,"Sample (thanks omhper!). Copper colour with a mediumsized beige head. Aroma is toffee, some toasted, sweet malty and a mild tartish wooden edge to it. Flavour is nutty, floral, some sweet malts, wood and mild toffeeish tones. Smooth and quite a tasty brown ale.",oh6gdx,"Marshall, Minnesota"
0,Revolution Double Dry-Hopped Brunch-Hero,"Revolution Brewing Company (IL, USA)",3.6,"Sample (thanks omhper!). Hazy golden colour, mediumsized foamy white head. Aroma is fruity, floral, some mild toffee as well as some mild nectary tones. Flavour is fruity, floral, some toffee and mild nectary tones. Zest in the finish.",oh6gdx,"Chicago, Illinois"
0,KCBC Z • O • M • B • I • E • S,KCBC (Kings County Brewers Collective),3.6,"Draught@TCBW2022. Slightly hazy pink colour, small white head. Aroma is some acidity, tropical fruits, vanilla and some cherries as well. Flavour is cherries, vanilla, some acidity, tartish fruits and mild wooden tones. In a way easy going, but at the same time interesting enough for us geeks.",oh6gdx,"Brooklyn, New York"
0,Black Beauty White Chocolate Dream,Black Beauty Brewery,3.1,"Pours hazy amber with a on finger, white head. Aroma is cocoa and lactose. Taste is chocolate and lactose. Finish mirrors the taste and aroma.",GregMooreNH,"Bowie, Maryland"
0,Holy Mountain Sacrament - Carménère,Holy Mountain Brewing Company,3.5,"Draught@TCBW2022. Reddish amber colour with a small pink head. Aroma is fruity, some floral and raspberry tones with a nice wooden tartness to it. Flavour is raspberries, some floral tones along with some wood as well.",oh6gdx,"Seattle, Washington"
0,Firestone Walker / Creature Comforts Mother's Milk,Firestone Walker Brewing (Duvel Moortgat),4.0,"Draught@SBWF2018. Black colour with a mediumsized foamy beigeish brown head .Aroma is chocolate, some molasses, spices and mild ashy elements. Flavour is roasted, chocolaty, some molasses, spices and mild warming alcohol to it. Silky smooth palate.",oh6gdx,"Paso Robles, California"
0,Firestone Walker Walker's Cuvee,Firestone Walker Brewing (Duvel Moortgat),3.0,"Draught@SBWF2018. Hazy pale amber colour with a small white head. Aroma is wood, some citrus, mild acidic tones with some herbs. Flavour is citrus, some wood and mild acidic tartness to it. A bit sharp on the edges",oh6gdx,"Paso Robles, California"
0,KCBC The Ravenmaster,KCBC (Kings County Brewers Collective),3.7,"Draught@TCBW2022. Black colour with a small beigeish brown head. Aroma is liquorice, some toasted tones with mild ashes and some syrupy tones and alcohol. Flavour is quite boozy with some ashes, roasted malts and mild liquorice. Very much on the roasted/ashy side of things. Nothing that exciting.",oh6gdx,"Brooklyn, New York"
0,KCBC Penguins Take Manhattan,KCBC (Kings County Brewers Collective),3.4,"Draught@TCBW2022. Hazy yellowish golden colour with a small white head. Aroma is grapefruit, soem zesty tones, mild bready and some oaty tones. Flavour is fruity, zesty, some biscuity and bready crispness. Smooth, and good easy going session beer.",oh6gdx,"Brooklyn, New York"
0,Holy Mountain / Oxbow Consorting With The Devil,Holy Mountain Brewing Company,3.2,"Draught@TCBW2022. Golden colour with a small white head. Aroma is fruity, vinegary some mild honey and mild herbal tones. Flavour si fruity, mild vinegar, some dry grassy and herbal tones. Kind of bretty earth to it too. A bit strange, and maybe too young to come to it's full best.",oh6gdx,"Seattle, Washington"
